country,dish,link,image,main_ingredients
Switzerland,Fondue,/wiki/Fondue,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Swiss_fondue_2.jpg/250px-Swiss_fondue_2.jpg,"Cheeses, white wine, seasoning, garlic, often kirsch"
Switzerland,Rösti,/wiki/R%C3%B6sti,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Roesti.jpg/250px-Roesti.jpg,"Potatoes, butter or other fat"
Syria,Kibbeh,/wiki/Kibbeh,http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Kibbeh3.jpg/230px-Kibbeh3.jpg,
Tajikistan,O'sh,/wiki/Kabuli_pulao,,
Tajikistan,pilaf,/wiki/Pilaf,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Azerbaijani_plov.JPG/280px-Azerbaijani_plov.JPG,"Rice, spices, meat or fish, vegetables, dried fruits"
Taiwan,Beef noodle soup,/wiki/Beef_noodle_soup,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Pho-style_noodle_soup.jpg/250px-Pho-style_noodle_soup.jpg,"Beef, beef broth, vegetables, Chinese noodles"
Tanzania,Ugali,/wiki/Ugali,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Ugali_and_cabbage.jpg/250px-Ugali_and_cabbage.jpg,Cornmeal
Thailand,Pad Thai,/wiki/Pad_Thai,http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Phat_Thai_kung_Chang_Khien_street_stall.jpg/250px-Phat_Thai_kung_Chang_Khien_street_stall.jpg,"Dried rice noodles, eggs, tofu, tamarind pulp, fish sauce, dried or fresh shrimp, garlic or shallots, red chili pepper, palm sugar, lime, peanuts"
Thailand,Som Tam,/wiki/Som_Tam,http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/2013_Tam_Lao.jpg/250px-2013_Tam_Lao.jpg,Papaya
Thailand,Tom Yum Goong,/wiki/Tom_Yum_Goong,http://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Tom_yum.jpg/250px-Tom_yum.jpg,"stock, lemon grass, kaffir lime leaves, galangal, lime juice, fish sauce, chili peppers"
Trinidad and Tobago,Callaloo,/wiki/Callaloo,,"Leaf vegetable (usually amaranth, taro or Xanthosoma)"
Turkey,Kebab,/wiki/Kebab,http://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Jooje_Kebab.jpg/220px-Jooje_Kebab.jpg,Meat
Turkey,kuru fasulye,/wiki/Fasolada,http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Fasolada.JPG/250px-Fasolada.JPG,"Dry white beans, olive oil, vegetables"
Turkey,pilav,/wiki/Pilav,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Azerbaijani_plov.JPG/280px-Azerbaijani_plov.JPG,"Rice, spices, meat or fish, vegetables, dried fruits"
Tunisia,Couscous,/wiki/Couscous,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Couscous_of_Fes.JPG/235px-Couscous_of_Fes.JPG,Semolina
Turkmenistan,Palaw,/wiki/Palov,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Azerbaijani_plov.JPG/280px-Azerbaijani_plov.JPG,"Rice, spices, meat or fish, vegetables, dried fruits"
Uganda,Matoke,/wiki/Matoke,,
Ukraine,Borscht,/wiki/Borscht,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Borshch2.jpg/220px-Borshch2.jpg,"Potato, cabbage, beet, carrots, onion, smetana, salt"
Ukraine,Varenyky,/wiki/Varenyky,http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Virtiniai001.JPG/250px-Virtiniai001.JPG,"Dough; mashed potatoes, quark or cottage cheese, meat, mushrooms, fruits, cabbage, sauerkraut, or hard-boiled eggs"
United Kingdom,Chicken Tikka Masala,/wiki/Chicken_Tikka_Masala,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Chicken_tikka_masala.jpg/200px-Chicken_tikka_masala.jpg,"Chicken, yogurt, cream, tomato, onion, garlic, ginger, chili pepper, coconut"
United Kingdom,Fish and chips,/wiki/Fish_and_chips,http://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Fish_and_chips.jpg/300px-Fish_and_chips.jpg,Battered and fried fish with deep-fried chips
United States,Hamburger,/wiki/Hamburger,http://upload.wikimedia.org/wikipedia/commons/thumb/6/62/NCI_Visuals_Food_Hamburger.jpg/240px-NCI_Visuals_Food_Hamburger.jpg,"Ground meat, bread"
United States,Fried chicken,/wiki/Fried_chicken,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Fried-Chicken-Set.jpg/300px-Fried-Chicken-Set.jpg,Chicken
United States,Apple pie,/wiki/Apple_pie,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Apple_pie.jpg/300px-Apple_pie.jpg,"cooking apples, sugar"
United States,Thanksgiving dinner,/wiki/Thanksgiving_dinner,,
Uruguay,Asado,/wiki/Asado,,
Uruguay,Chivito,/wiki/Chivito_(sandwich),http://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Chivito1.jpg/250px-Chivito1.jpg,"Bun, churrasco beef, bacon, fried or hard-boiled eggs, ham, black or green olives, mozzarella, tomatoes, mayonnaise"
Uzbekistan,O'sh,/wiki/Pilaf,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Azerbaijani_plov.JPG/280px-Azerbaijani_plov.JPG,"Rice, spices, meat or fish, vegetables, dried fruits"
Venezuela,Pabellón criollo,/wiki/Pabell%C3%B3n_criollo,http://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Pabell%C3%B3n_Criollo.jpg/220px-Pabell%C3%B3n_Criollo.jpg,"rice and beans, shredded beef in stew and stewed"
Vietnam,Phở,/wiki/Ph%E1%BB%9F,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Pho_in_Saigon.jpg/250px-Pho_in_Saigon.jpg,"Rice noodles, beef or chicken"
Yemen,Saltah,/wiki/Saltah,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Saltah.gif/250px-Saltah.gif,"Maraq, fenugreek, sahawiq (chillies, tomatoes, garlic, herbs)"
