China,"Wuhan (incl. Hanyang, Huangpi, Wuchang, Xinzhou)",HB,3791622,5921960,6841779
China,Wuhu,AH,441999,641259,1108087
China,Wuxi,JS,775702,1872915,2757736
China,Xiamen (Amoy),FJ,423796,1454450,3119110
China,"Xi'an (incl. Chang'an, Lintong) [Sian]",SN,2398634,3870504,5206253
China,Xiangtan,HN,456050,707783,903287
China,Xiangyang (Xiangfan),HB,462113,1204039,1433057
China,Xianyang,SN,316641,814625,835648
China,Xining,QH,592115,854466,1153417
China,Xinxiang,HEN,450347,775941,918078
China,Xuzhou (incl. Tongshan),JS,809384,1623307,2214795
China,Yancheng,JS,293924,933832,1136826
China,Yangzhou,JS,302007,865117,1077531
China,Yantai,SD,422282,1261476,1797861
China,Yichang,HB,412605,869092,1049363
China,Yinchuan,NX,383654,578362,1159457
China,Yingkou,LN,458353,630208,880412
China,Yiwu,ZJ,114258,560317,878903
China,Yueyang,HN,304565,845109,924099
China,Zaozhuang,SD,302641,883031,980893
China,Zhangjiagang,JS,59091,432352,762625
China,Zhangjiakou,HEB,558286,806518,924628
China,Zhanjiang,GD,485833,832273,1038762
China,Zhengzhou,HEN,1134174,2501024,3677032
China,Zhenjiang,JS,328121,764105,950516
China,Zhongshan,GD,393353,1434251,2740994
China,Zhuhai (incl. Doumen),GD,269457,1056169,1369538
China,Zhuzhou,HN,429858,837102,999404
China,Zibo,SD,776912,1929403,2261717
India,Ādoni,AND,136182,162458,184625
India,"Agartala (incl. Jogendranagar, Pratapgarh, Badharghat)",TRI,233896,299398,400004
India,Āgra [Agra],UTT,948063,1331339,1760285
India,Ahmadābād [Ahmedabad],GUJ,3312216,4525013,6357693
India,Ahmadnagar (Ahmednagar),MAH,222088,347549,379845
India,Āīzawl,MIZ,155240,228280,293416
India,Ajmer,RAJ,402700,490520,551101
India,Akola,MAH,328034,400520,425817
India,Alappuzha (Alleppey),KER,264969,282675,240991
India,Alīgarh,UTT,480520,669087,911223
India,Allahābād [Allahabad],UTT,844546,1042229,1212395
India,Alwar,RAJ,210146,266203,341422
India,Ambāla,HAR,119338,139279,195153
India,Ambāla Sadar,HAR,139889,168316,205418
India,Amrāvati,MAH,421576,549510,647057
India,Amritsar,PUN,708835,1003917,1183549
India,Amroha,UTT,137061,165129,198471
India,Ānand,GUJ,174480,218486,288095
India,Anantapur,AND,174924,243143,340613
India,Anantnāg,JAM,,97896,159838
India,Ara (Arrah),BIH,157082,203380,261430
India,Āsansol,WES,763939,1067369,1243414
India,Aurangābād [Aurangabad],MAH,592709,892483,1193167
India,Bahādurgarh,HAR,56524,131925,170767
India,Baharampur (Berhampore),WES,126400,170322,304487
India,Bahraich,UTT,135400,168323,186223
India,Bāleshwar (Balasore),OSA,101829,156430,177751
India,Bālurghāt,WES,126225,143321,164816
India,Bānda,UTT,96795,139436,160473
India,Bardhamān (Burdwan),WES,245079,285602,346639
India,Bareilly,UTT,617350,748353,985752
India,Batāla,PUN,103367,147872,158621
India,Bathinda (Bhatinda),PUN,159114,217256,285788
India,Beāwar,RAJ,106721,125981,151152
India,Begusarāi,BIH,84018,107623,252008
India,Belgaum,KAR,402412,506480,610350
India,Bellary,KAR,245391,316766,410445
India,Bengaluru [Bangalore],KAR,4130288,5701446,8520435
India,Bettiah,BIH,92653,116670,155518
India,Bhadrāvati,KAR,149257,160662,151102
India,Bhāgalpur,BIH,260119,350133,412209
India,Bharatpur,RAJ,156880,205235,252838
India,Bharūch (Broach),GUJ,139029,176364,223647
India,Bhāvnagar (Bhaunagar),GUJ,405225,517708,605882
India,Bhilai (Bhilai Nagar),CHH,685474,927864,1064222
India,Bhīlwāra,RAJ,183965,280128,359483
India,Bhind,MAD,109755,153752,197585
India,Bhiwandi,MAH,392214,621427,735681
India,Bhiwāni,HAR,121629,169531,196057
India,Bhopāl [Bhopal],MAD,1062771,1458416,1886100
India,Bhubaneswar,OSA,411542,658220,885363
India,Bhuj,GUJ,121009,136429,188236
India,Bhusāwal,MAH,159799,187564,203774
India,Bīdar,KAR,132408,174257,216020
India,Bihār (Bihar Sharif),BIH,201323,232071,297268
India,Bijāpur,KAR,193131,253891,327427
India,Bīkāner,RAJ,416289,529690,644406
India,Bilāspur,CHH,229615,335293,453946
India,Bokāro Steel City,JHA,398890,497780,564319
India,Brahmapur (Berhampur),OSA,210418,307792,356598
India,Budaun,UTT,116695,148029,159285
India,Bulandshahr,UTT,127201,176425,234945
India,Burhānpur,MAD,172710,193725,210886
India,Chandīgarh [Chandigarh],CHA,575829,808515,1026459
India,Chandrapur,MAH,226105,289450,320379
India,Chāpra,BIH,136877,179190,213714
India,Chennai [Madras],TAM,5421985,6560242,8653521
India,Cherthala (Shertallai),KER,81771,141558,455722
India,Chhindwāra,MAD,96858,153552,190041
India,Chīrāla,AND,142778,166294,162471
India,Chittoor,AND,133462,152654,175647
India,Coimbatore,TAM,1100746,1461139,2136916
India,Cuddalore,TAM,144561,158634,173636
India,Cuttack,OSA,440295,587182,663188
India,Damān (Damão),DAM,26905,35770,44282
India,Dankuni,WES,,51943,249015
India,Darbhanga,BIH,218391,267348,308011
India,Dāvanagere,KAR,287233,364523,434971
India,Dehra Dūn,UAR,368053,530263,706124
India,Delhi,DEL,8419084,12877470,16349831
India,Deoghar,JHA,85902,112525,203123
India,Dewās,MAD,164364,231672,289550
India,Dhanbād [Dhanbad],JHA,815005,1065327,1196214
India,Dhule,MAH,278317,341755,375559
India,Dhuliān,WES,62242,72850,239019
India,Dibrugarh,ASS,125667,137661,154296
India,Dindigul,TAM,182477,196955,292512
India,Durgāpur,WES,425836,493405,580990
India,Elūru,AND,212866,215804,250834
India,Erode,TAM,361755,389906,521891
India,Etāwah,UTT,124072,210453,256838
India,Faizābād,UTT,176922,208162,256624
India,Farīdābād (New Township),HAR,617717,1055938,1414050
India,Farrukhābād (cum-Fatehgarh),UTT,208727,242997,291374
India,Fatehpur,UTT,117675,152078,193193
India,Fīrozābād,UTT,270536,432866,604214
India,Gadag (-Betigeri),KAR,134051,154982,172612
India,Gāndhīdhām,GUJ,104585,151693,247992
India,Gangānagar (Sri Gangānagar),RAJ,161482,222858,249914
India,Gangtok (incl. Upper Tādong),SIK,25024,43711,100286
India,Gayā,BIH,294427,394945,475987
India,Ghāziābād,UTT,511759,968256,2375820
India,Godhra,GUJ,100662,131172,162436
India,Gorakhpur,UTT,505566,622701,694889
India,Gulbarga (Gulburga),KAR,310920,430265,543147
India,Guna,MAD,100490,137175,180935
India,Guntūr,AND,471051,514461,670073
India,Gurgaon,HAR,135884,228820,902112
India,Guwāhāti [Gauhati],ASS,584342,818809,962334
India,Gwalior,MAD,717780,865548,1117740
India,Hābra,WES,196970,239209,299782
India,Haldīa,WES,100347,170673,200827
India,Haldwāni,UAR,104195,158896,232095
India,Hanumāngarh,RAJ,82733,129556,150958
India,Hāpur,UTT,146262,211983,262983
India,Hardoī,UTT,88651,112486,197029
India,Hardwār (Haridwar),UAR,187392,220767,310796
India,Hassan,KAR,108706,133262,173008
India,Hāthras,UTT,113285,126355,160909
India,Hazārībāg,JHA,97824,135473,153595
India,Hindupur,AND,104651,125074,151677
India,Hisār,HAR,181255,263186,307024
India,Hoshiārpur,PUN,122705,149668,168653
India,Hospet,KAR,134799,164240,206167
India,Hosūr,TAM,41739,99651,229528
India,Hubli-Dhārwār (Hubli-Dharwad) [Hubli-Dharwar],KAR,648298,786195,943788
India,Hyderābād [Hyderabad],AND,4344437,5742036,7677018
India,Ichalkaranji (Ichaikaroji),MAH,235979,285860,325499
India,Imphāl,MAN,202839,250234,418739
India,Indore,MAD,1109056,1506062,2170295
India,Ingrāj Bāzār (English Bāzār),WES,177164,224415,313681
India,Itānagar,ARU,16545,35022,59490
India,Jabalpur,MAD,888916,1098000,1268848
India,Jaipur,RAJ,1518235,2322575,3046163
India,Jalandhar [Jullundur],PUN,509510,714077,874412
India,Jālgaon,MAH,242193,368618,460228
India,Jālna,MAH,174985,235795,285577
India,Jalpāiguri,WES,68732,100348,169002
India,Jammu,JAM,,612163,657314
India,Jāmnagar,GUJ,381646,556956,600943
India,Jamshedpur,JHA,829171,1104713,1339438
India,Jaunpur,UTT,136062,160055,180362
India,Jhānsi,UTT,368154,460278,547638
India,Jīnd,HAR,85315,135855,167592
India,Jodhpur,RAJ,666279,860818,1138300
